genotype_name,genotype_id,plant_id,location,treatment,rep,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,F05_flowering_finished,F04_total_flowering_days,F08_total_pixel.days,date of collapse,"Comments, warning",further comments,,,,,,
Capitol,BR017-028,BR017-028121,1,2,1,87.07586806,70.79785378,128.1762049,94.07594907,18.58107174,6.769929096,13.04008634,87.07624432,80.00330464,1815,110.0758681,23,0,-0.92413194,0,95,102,8,12346,54511.5,6813.9375,88,95,7,7,NO,16,125753.5,0,0,0,,,,,,
Capitol,BR017-028,BR017-028122,1,2,2,87.42908565,75.88249341,153.9573331,91.54407407,17.88686611,6.153029883,12.43374776,104.4201007,87.60431862,1787,109.5455093,22.11642361,0,-0.57091435,0,94,109,16,10431,123673,7729.5625,88,95,7,6,NO,16,123673,0,0,0,,,,,,
Capitol,BR017-028,BR017-028223,2,2,3,87.77108796,86.43780371,153.4220189,89.77118056,14.40110631,4.036384353,9.397957328,129.8191535,103.6927458,1802,106.819919,19.04883102,0,-0.22891204,0,92,105,14,8223,79189,5656.357143,88,92,4,4,NO,15,86313,0,0,0,,,,,,
Apex,BR017-040,BR017-040121,1,2,1,89.17479167,49.16082233,123.9756067,95.16472222,24.09235533,7.967757209,17.20028457,64.00797447,54.15608075,1686,118.8794213,29.70462963,0,-0.82520833,0,97,109,13,8943,70122,5394,90,97,7,7,NO,22,126576,0,0,0,,,,,,
Apex,BR017-040,BR017-040122,1,2,2,94.47743056,51.75393726,153.7422377,97.45016204,19.61010222,4.453972801,13.1326193,87.6745363,59.45120179,1561,118.8078241,24.33039352,0,1.47743056,0,96,118,23,6583,118440,5149.565217,93,97,4,3,NO,23,118440,0,0,0,,,,,,
Apex,BR017-040,BR017-040223,2,2,3,88.82861111,73.8094302,127.6398171,92.75793981,15.82589104,5.680895782,11.82439507,90.21464566,77.99553334,1639,118.0035532,29.17494213,0,0.82861111,0,92,100,9,6269,35141,3904.555556,88,92,4,4,NO,27,126934.5,0,0,0,,,,,,
Expert,BR017-055,BR017-055121,1,2,1,87.13925926,67.09947268,119.4541608,90.82384259,15.89580301,4.553451149,10.11473269,98.60652619,82.55284896,1544,109.3984144,22.25915509,0,2.13925926,0,89,109,21,10290,126895,6042.619048,85,90,5,4,NO,22,134580,0,0,0,,,,,,
Expert,BR017-055,BR017-055122,1,2,2,86.36966435,68.74666251,153.6658647,89.38012731,17.29102122,4.24347138,10.91387832,125.2512277,86.33502886,1643,110.3690972,23.99943287,0,-1.63033565,0,89,94,6,10990,40478,6746.333333,88,90,2,1,NO,22,170575.5,0,0,0,,,,,,
Expert,BR017-055,BR017-055223,2,2,3,84.7275,71.57271498,222.4510814,88.81290509,15.6651875,3.959534722,10.07337504,118.7008154,87.06118818,1628,105.6039815,20.87648148,0,3.7275,0,85,99,15,11245,94081.5,6272.1,81,88,7,4,NO,22,146348,0,0,0,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,BR017-090121,1,2,1,78.24642361,56.0342337,93.07510363,80.19571759,16.54345815,3.742867041,11.05757912,88.43488064,63.62152082,1490,103.5925,25.34607639,0,4.24642361,0,79,94,16,28113,211943.5,13246.46875,74,81,7,5,NO,32,300722.5,0,0,0,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,BR017-090122,1,2,2,77.43523148,57.60979618,93.87089917,78.41530093,16.08233428,4.438635587,11.21175381,79.41629653,63.43788958,1435,100.4358102,23.0005787,0,3.43523148,0,79,94,16,27662,194181.5,12136.34375,74,78,4,5,YES,22,263493,0,0,0,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,BR017-090223,2,2,3,73.79269676,61.51365589,97.44246426,77.79178241,18.28374503,5.676981894,12.99572667,90.10069251,68.84955516,1533,98.80460648,25.01190972,0,-0.20730324,0,77,89,13,31080,157063,12081.76923,74,78,4,3,NO,30,328836,0,0,0,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,BR017-093121,1,2,1,87.13611111,68.86459726,157.6762223,90.82071759,18.25321065,5.849540433,12.03080227,96.58878445,82.91217638,1730,110.1358565,22.99974537,0,-0.86388889,0,90,97,8,8175,25960,3245,88,92,4,2,NO,21,117674,0,0,0,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,BR017-093122,1,2,2,87.41649306,74.20228211,141.1252269,91.53149306,16.9603948,5.410509917,11.5096372,109.5090868,87.64394418,1665,109.5329167,22.11642361,0,-0.58350694,0,91,99,9,7873,45490,5054.444444,88,92,4,3,NO,19,112727.5,0,0,0,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,BR017-093223,2,2,3,86.80664352,80.94842134,172.2183569,89.03674769,15.02438194,4.026013068,9.943586902,133.3825775,96.69548921,1698,106.8545255,20.04788194,0,-1.19335648,0,89,94,6,6734,22593,3765.5,88,90,2,1,NO,18,87875,0,0,0,,,,,,
