genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_ratio_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,
Capitol,BR017-028,tenvsfive,1,1,1.023527645,0.730275921,0.854517923,1.290835324,1.360246109,1.505313963,1.375918929,0.646759136,0.718862806,1.010016694,1.187081006,1.308114563,,-0.44552135,,1.142857143,1,0.666666667,0.995003224,0.470107067,0.7051606,1.25,1.185185185,1,0.875,,,,,,,,,,,,
Capitol,BR017-028,tenvsfive,1,2,1.023432722,0.831571546,0.910715996,1.168521566,,,,,,,,,,-0.235206324,,1.107142857,1.393939394,2.666666667,1.041745731,3.177130966,1.191424112,1.25,1.185185185,1,0.75,,,,,,,,,,,,
Capitol,BR017-028,tenvsfive,2,3,1.035210628,0.925963468,0.858524449,1.126238883,1.19858193,1.278395393,1.287439795,0.846877761,0.857709461,1.130489335,1.000035659,0.864573741,,-0.128189674,,1.115384615,1.076923077,1,1.00587156,1.092081311,1.092081311,1.25,1.074074074,0.571428571,0.666666667,,,,,,,,,,,,
Apex,BR017-040,tenvsfive,1,1,1.023082049,0.706211351,0.934897382,1.155038554,1.248692076,1.248693956,1.308330767,0.672307389,0.667112597,0.91680261,1.01926111,0.968821924,,0.985786575,,1.259259259,1,0.65,0.931174511,0.685159853,1.054092082,1.08,1.172413793,1.75,3.5,,,,,,,,,,,,
Apex,BR017-040,tenvsfive,1,2,1.080041361,0.806722126,1.208938209,1.167012282,1.034583883,0.781357195,1.066697293,0.892448976,0.754569185,0.951829268,0.999943594,0.776455171,,-2.818191836,,1.137931034,1.527777778,2.875,0.76033726,3.358380356,1.168132298,1.2,1.172413793,1,0.75,,,,,,,,,,,,
Apex,BR017-040,tenvsfive,2,3,1.036066905,0.874958475,0.826895368,1.152200558,0.991411544,1.086020038,1.067169312,0.755050525,0.803161837,0.908536585,1.256515373,1.386753112,,1.125271132,,1.115384615,1,0.75,0.543570623,0.417639229,0.556852305,1.136363636,1.074074074,0.8,1,,,,,,,,,,,,
Expert,BR017-055,tenvsfive,1,1,1.011629905,0.950565743,0.66520446,1.064091226,0.968135142,1.219934643,0.949952281,0.737580168,0.964335185,0.935757576,1.000033927,0.956998081,,0.681838135,,1,1.210526316,1.615384615,0.760644589,1.249655322,0.773596152,1.1,1.08,1,0.666666667,,,,,,,,,,,,
Expert,BR017-055,tenvsfive,1,2,0.999981775,0.856885713,0.947847305,0.999940334,1.173036393,1.217905924,1.192098811,0.844109879,0.847173276,0.987379808,1.087562449,1.189029544,,-1.188951253,,1,0.885714286,0.6,0.928994083,0.46525902,0.7754317,1.136363636,0.931034483,0.285714286,0.25,,,,,,,,,,,,
Expert,BR017-055,tenvsfive,2,3,1.012148762,0.920235966,1.363482716,1.044635915,0.948527174,0.809009083,0.929534415,0.990550095,0.922496297,0.932951289,1.000036949,0.953617287,,1.375196958,,0.956521739,1.161290323,1.666666667,0.857219088,1.409534582,0.845720749,1,1,1,0.8,,,,,,,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,tenvsfive,1,1,0.918461987,0.699896762,0.673111964,0.656225665,1.250572235,1.047378683,1.325595975,0.739244572,0.645429844,0.943635212,0.860132502,1.013825689,,1.012769658,,0.615384615,0.659574468,0.727272727,1.800384246,1.284763013,1.766549143,0.611111111,0.666666667,0.777777778,0.625,,,,,,,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,tenvsfive,1,2,0.942265565,0.724739161,0.782420463,0.687152718,1.261736055,1.095331519,1.276456038,0.741521601,0.700008558,0.991022099,1.00004205,1.260002029,,2.911612947,,0.727272727,1,1.6,0.8597091,1.367388687,0.854617929,0.611111111,0.681818182,1,1.25,,,,,,,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,tenvsfive,2,3,0.901708422,,,,,,,,,,,,,-0.247810506,,,,,,,,0.611111111,,,,,,,,,,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,tenvsfive,1,1,1.01163033,,,,,,,,,,,,,-0.761578254,,1,,,,,,1.136363636,1.074074074,,0.4,,,,,,,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,tenvsfive,1,2,1.011586769,,,,,,,,,,,,,-0.412308318,,,,,,,,1.136363636,1,0.571428571,,,,,,,,,,,,,
CANBERRA_x_COURAGE_DH_LINE,BR017-093,tenvsfive,2,3,1.011560099,0.85762141,0.955915973,1.049692009,1.186205146,1.142904813,1.180170044,0.861329792,0.85601587,1.044923077,1.027116579,1.008337335,,-1.464927601,,1,0.720930233,0.333333333,0.764358683,0.233986143,0.701958429,1.136363636,1,0.4,0.25,,,,,,,,,,,,
HANSEN_X_GASPARD_DH_LINE,BR017-096,tenvsfive,1,1,1.034961649,0.941656938,0.95554902,1.119158639,0.976768109,0.779669078,0.953334841,1.141283407,0.958158182,0.9439913,1.015989829,0.902407784,,1.010457433,,1,1.277777778,2.666666667,0.96559565,2.07448606,0.777932273,1.136363636,1,0.571428571,0.666666667,,,,,,,,,,,,
HANSEN_X_GASPARD_DH_LINE,BR017-096,tenvsfive,1,2,1.011591094,0.878845313,0.860414851,1.189146618,1.030541944,1.23614989,1.090606796,0.714332413,0.825975873,0.924713584,1.000033226,0.958348203,,1.615023342,,1.148148148,1.305555556,1.7,1.062797125,1.69384733,0.996380782,1.08,1.074074074,1,2,,,,,,,,,,,,
HANSEN_X_GASPARD_DH_LINE,BR017-096,tenvsfive,2,3,1.023418556,0.885524022,0.921395494,1.080700613,1.022555434,1.00781649,1.021016518,0.87657412,0.88217069,0.924415443,1.027118847,0.960314239,,6.545396842,,1.12,1,0.769230769,0.952162736,0.720026518,0.936034473,1.136363636,1,0.4,1,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,1,1,1.011767402,0.883627768,0.89064027,1.083306415,1.108249665,1.070140562,1.087558164,0.889997951,0.895323363,1,1.168077808,1.322821756,,1.466107445,,1.038461538,1.352941176,2.222222222,0.790481438,2.08335456,0.937509552,1,1,1,1.166666667,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,1,2,1.023717106,0.810197942,1.028921566,1.128572636,1.215426922,0.954548841,1.090087669,1.036155546,0.904164569,0.981511691,1.118330082,1.144714723,,1.001609379,,1,1,1,0.674407441,0.585779644,0.585779644,1.1,1.08,1,0.666666667,,,,,,,,,,,,
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,tenvsfive,2,3,1.012018093,0.858200696,0.966095501,1.043408836,1.099817044,0.967036471,1.049071093,0.929452255,0.89038868,0.982599239,1.129258207,1.216554627,,-5.979476022,,1,1,1,1.00555075,0.850388979,0.850388979,1,1,1,1,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,1,1,1.0000182,0.960956389,0.882556436,1.000056601,1.063978166,1.152852987,1.142374394,0.910675796,0.900115196,1,1.000033649,1,,0.998187685,,1,1,1,0.637879013,0.676723158,0.676723158,1,1,1,1,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,1,2,1.000018,0.859280729,0.718314814,1.101062207,1.369856918,1.746329698,1.45561385,0.73002927,0.822497436,1.102564103,1.000033804,1,,0.997140462,,1.107142857,1.027777778,0.777777778,0.813679601,0.70112245,0.901443151,1,1.103448276,1.75,2,,,,,,,,,,,,
RAFAL_DH1,BR017-098,tenvsfive,2,3,1.000003732,0.902707338,1.03164557,1.000012529,0.98842381,0.91759903,0.934202523,0.952754211,0.951066094,0.906470908,1.027053793,1.061173765,,0.999721069,,1,0.972222222,0.888888889,0.847614564,0.826091345,0.929352763,1,1,1,1,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,1,1,1.042308199,0.898098949,1.211698536,1.155218297,1.064726464,1.054157516,1.250553492,0.855291094,0.755443431,1,1.181115653,1.211833874,,1.359912914,,1.096774194,1,0.8125,0.695058256,0.374909751,0.461427387,1.16,1.172413793,1.25,0.833333333,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,1,2,1.021348536,0.873498188,1.31108795,1.094395121,1.166783324,1.074060646,1.166202087,0.974392596,0.878586212,1,0.999762658,0.932106588,,-2.986720751,,1.032258065,1.243243243,2.142857143,0.744293646,1.632475783,0.761822032,1,1.0625,1.4,1.25,,,,,,,,,,,,
EUROL,BR017-101,tenvsfive,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,1,1,1.000018291,,,,,,,,,,,,,1.000515181,,1,,,,,,1,1,1,1,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,1,2,1.00001836,1.264987729,0.930232558,1.000059683,0.828793397,0.980607276,0.707363994,1.074476881,1.483647989,1.044520548,1.000028212,0.999999643,,-0.486148966,,1.074074074,1,0.904761905,1.431994362,1.278713829,1.413315285,1.25,1,0.444444444,0.571428571,,,,,,,,,,,,
Lesira,BR017-102,tenvsfive,2,3,1.012149218,,,,,,,,,,,,,1.375633234,,1.04,,,,,,1,1,1,1.142857143,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenvsfive,1,1,1.011635846,,,,,,,,,,,,,-0.297931337,,1.107142857,,,,,,1.25,1.074074074,0.571428571,0.75,,,,,,,,,,,,
LICROWN_X_EXPRESS_DH_LINE,BR017-105,tenvsfive,1,2,1.000003751,,,,,,,,,,,,,-0.467241373,,1,,,,,,1.25,1.074074074,0.571428571,0.375,,,,,,,,,,,,
