genotype_name,genotype_id,treatment,location,rep,R01_days_diff_raceme_start,R02_diff_in_mean_rate,R03_max_rate,R04_days_diff_to_max_rate,R05_days_diff_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,,,,,,,,,,,,,,
Capitol,BR017-028,tenminusfive,1,1,2.00159723,-26.14886423,-21.822059,7.00165509,4.92099095,2.272575545,3.56272102,-47.55848988,-31.28817396,18,7.4190394,5.41744213,0,-2.99840277,0,4,0,-4,-62,-61444,-2849.020833,5,5,0,-1,,,,,,,,,,,,,,
Capitol,BR017-028,tenminusfive,1,2,2.00179398,-15.36941841,-15.0935387,4.1165625,,,,,,,,,-1,-2.99820602,0,3,13,10,418,84747,1241.895833,5,5,0,-2,,,,,,,,,,,,,,
Capitol,BR017-028,tenminusfive,2,3,2.98535879,-6.91123938,-25.2822907,3.00075232,2.38598582,0.879000984,2.098231651,-23.4723361,-17.2022082,208,0.0015625,-2.98379629,0,-2.01464121,0,3,3,0,48,6677,476.928572,5,2,-3,-2,,,,,,,,,,,,,,
Apex,BR017-040,tenminusfive,1,1,2.01189815,-20.45123114,-8.6331791,4.31740741,4.79828292,1.586884482,4.05354446,-31.19843788,-27.02373959,-153,1.0559607,-0.9559375,0,0.01189815,0,7,0,-7,-661,-32222,276.8,2,5,3,5,,,,,,,,,,,,,,
Apex,BR017-040,tenminusfive,1,2,7.00167825,-12.39942555,26.5709426,4.93019676,0.65552296,-1.246330249,0.82114219,-10.56585462,-19.33706963,-79,-0.0031481,-7.00482639,0,2.00167825,0,4,19,15,-2075,83173,741.190217,5,5,0,-1,,,,,,,,,,,,,,
Apex,BR017-040,tenminusfive,2,3,3.09224537,-10.54820768,-26.720483,3.9308912,-0.13709742,0.449964875,0.74424599,-29.26695544,-19.1150734,-165,11.2288773,8.13663194,0,0.09224537,0,3,0,-3,-5264,-49001,-3107.277777,3,2,-1,0,,,,,,,,,,,,,,
Expert,BR017-055,tenminusfive,1,1,1.00177083,-3.48951415,-60.1209443,1.67585648,-0.52318885,0.820914184,-0.53288919,-35.08270571,-3.05312108,-106,0.0015741,-1.00019676,-1,-0.99822917,0,0,8,8,-3238,25351,-1768.457875,2,2,0,-2,,,,,,,,,,,,,,
Expert,BR017-055,tenminusfive,1,2,-0.00157408,-11.48184576,-8.4550422,-0.00157408,2.550625,0.759235614,1.758699054,-23.1313832,-15.57449934,-21,3.8138078,3.81538194,0,-3.00157408,0,0,-4,-4,-840,-46523,-1953.766667,3,-2,-5,-3,,,,,,,,,,,,,,
Expert,BR017-055,tenminusfive,2,3,1.01697917,-6.20376584,59.3019056,1.10295139,-0.85008789,-0.934767217,-0.76363635,-1.1324126,-7.31446236,-117,0.0015741,-1.01540509,0,1.01697917,0,-1,5,6,-1873,27335,-1144.177778,0,0,0,-1,,,,,,,,,,,,,,
APEX-93_5_X_GINYOU_3_DH_LINE,BR017-090,tenminusfive,1,1,-6.94645833,-24.02647919,-45.20070877,-9.00825232,3.31474757,0.169310407,2.715988372,-31.19383766,-34.95080487,-89,-6.6008102,0.34564815,0,0.05354167,0,-10,-16,-6,12498,46976.5,5747.96875,-7,-9,-2,-3,,,,,,,,,,,,,,
