genotype_name,genotype_id,plant_id,location,treatment,rep,R01_raceme_start,R02_mean_rate,R03_max_rate,R04_DAS_of_max_rate,R05_main_ext_period,R06_50ht_period,R07_75ht_period,R08_50ht_rate,R09_75ht_rate,R10_max_height,R11_max_height_DAS,R12_extension_days_to_max,R13_raceme_collapse,R14_BBCH51_to_raceme_start,R15_elong_in_vern,F01_first_flowers_DAS,F02_peak_flowers_DAS,F03_flowering_days_to_peak,F06_pixel.day_peak,F07_pixel.days_to_peak,F09_mean_pixel.days_to_peak,Ground_BBCH51,Ground_BBCH60,Ground_60-51,Auto60-ground51,F04_total_flowering_days,F08_total_pixel.days,F05_flowering_finished,date of collapse,"Comments, warning",further comments
Matador,BR017-160,BR017-160111,1,1,1,86.07743056,107.3057131,155.6989792,89.08774306,11.24357655,4.249879886,7.960489146,128.121268,120.3757687,1655,109.0775231,23.00009259,0,3.07743056,0,91,97,7,9899,43255.5,6179.357143,83,90,7,8,20,126525.5,NO,0,0,0
LEMBKES_MALCHOWER_LENORA,BR017-108,BR017-108213,2,1,3,91.76607639,106.3511814,173.6285432,94.72295139,12.21613134,4.086430301,9.027625627,142.9120178,114.2050017,1788,106.7715278,15.00545139,0,1.76607639,0,94,102,9,6581,42926.5,4769.611111,90,95,5,4,45,142404,NO,0,0,0
GROENE_GRONINGER_SNIJMOES,BR017-218,BR017-218112,1,1,2,84.43967593,103.0408861,213.8749288,89.45061343,12.98610727,4.410119065,8.814409887,136.6176267,120.512889,1839,104.6335069,20.19383102,0,3.43967593,0,89,109,21,13376,202839,9659,81,90,9,8,21,202839,NO,0,0,0
Ramses,BR017-168,BR017-168111,1,1,1,85.19918981,102.3237065,178.9834275,87.19979167,12.83280332,3.891771437,8.888447569,148.3900094,116.6964188,1839,103.5972222,18.39803241,0,2.19918981,0,89,97,9,10007,63948.5,7105.388889,83,90,7,6,21,142684,YES,0,0,0
Express,BR017-532,BR017-532212,2,1,2,86.57824074,101.0537754,158.0604124,88.6790625,13.07323743,4.245832554,9.002176546,137.8999272,116.1108088,1839,105.4540162,18.87577546,0,3.57824074,0,89,96,8,8893,37788.5,4723.5625,83,90,7,6,18,111899.5,NO,0,0,0
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,BR017-097213,2,1,3,82.85732639,100.9196048,161.9277108,85.86134259,13.55633529,4.873006028,9.78615522,129.7966792,111.6117592,1839,100.8527431,17.99541667,0,-0.14267361,0,87,94,8,13872,64206.5,8025.8125,83,88,5,4,20,157059.5,NO,0,0,0
Wilhelmsburger,BR017-448,BR017-448212,2,1,2,88.79418981,99.81200943,156.3782526,94.69319444,13.13569387,5.51851694,9.427186217,104.2852647,109.8153761,1839,105.5852431,16.79105324,0,-1.20581019,0,96,105,10,11623,55660,5566,90,97,7,6,11,65745,NO,0,0,0
MADRIGAL_x_RECITAL_DH_LINE,BR017-097,BR017-097111,1,1,1,85.14969907,99.52341682,161.9700056,87.15030093,13.09340095,4.243420782,9.217915564,133.7364426,111.4405955,1839,102.7328241,17.583125,0,2.14969907,0,89,97,9,14519,80481.5,8942.388889,83,90,7,6,22,187240.5,NO,0,0,0
Express,BR017-532,BR017-532213,2,1,3,84.93498843,98.369614,141.3249211,86.9919213,13.89453455,5.163043331,9.826976039,122.795793,111.1226888,1832,102.460625,17.52563657,0,1.93498843,0,88,102,15,11545,100889,6725.933333,83,90,7,5,15,100889,NO,0,0,0
Capitol,BR017-028,BR017-028111,1,1,1,85.07427083,96.94671801,149.9982639,87.07429398,13.66008079,4.497353551,9.47736532,134.6347342,111.2914786,1797,102.6568287,17.58255787,0,2.07427083,0,91,102,12,12408,115955.5,9662.958333,83,90,7,8,20,174218.5,NO,0,0,0
