plant_id,crop_type,geno_type,max_buds,combo1,combo2
BR017-028111,Winter OSR,Capitol,7.333333333333333,7.0,6.0
BR017-028112,Winter OSR,Capitol,7.0,8.0,7.0
BR017-028121,Winter OSR,Capitol,8.666666666666666,9.0,9.0
BR017-028122,Winter OSR,Capitol,5.666666666666667,11.0,7.0
BR017-028213,Winter OSR,Capitol,8.0,7.0,7.0
BR017-028223,Winter OSR,Capitol,6.333333333333333,7.0,7.0
BR017-040111,Winter OSR,Apex,6.333333333333333,5.0,3.0
BR017-040112,Winter OSR,Apex,5.0,5.0,5.0
BR017-040121,Winter OSR,Apex,5.333333333333333,7.0,5.0
BR017-040122,Winter OSR,Apex,4.666666666666667,3.0,2.0
BR017-040213,Winter OSR,Apex,6.666666666666667,5.0,3.0
BR017-040223,Winter OSR,Apex,4.0,8.0,4.0
BR017-055111,Winter OSR,Expert,6.666666666666667,5.0,5.0
BR017-055112,Winter OSR,Expert,6.333333333333333,5.0,5.0
BR017-055121,Winter OSR,Expert,8.333333333333334,5.0,5.0
BR017-055122,Winter OSR,Expert,6.0,6.0,6.0
BR017-055213,Winter OSR,Expert,7.333333333333333,6.0,6.0
BR017-055223,Winter OSR,Expert,8.333333333333334,8.0,8.0
BR017-090111,Winter OSR,APEX-93_5_X_GINYOU_3_DH_LINE,8.0,11.0,11.0
BR017-090112,Winter OSR,APEX-93_5_X_GINYOU_3_DH_LINE,8.0,10.0,10.0
BR017-090121,Winter OSR,APEX-93_5_X_GINYOU_3_DH_LINE,10.0,10.0,10.0
BR017-090122,Winter OSR,APEX-93_5_X_GINYOU_3_DH_LINE,10.0,7.0,7.0
BR017-090223,Winter OSR,APEX-93_5_X_GINYOU_3_DH_LINE,11.0,7.0,7.0
BR017-093111,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,8.333333333333334,7.0,5.0
BR017-093112,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,6.0,9.0,6.0
BR017-093121,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,5.0,11.0,6.0
BR017-093122,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,5.0,12.0,7.0
BR017-093213,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,7.0,9.0,5.0
BR017-093223,Winter OSR,CANBERRA_x_COURAGE_DH_LINE,5.666666666666667,11.0,7.0
BR017-096111,Winter OSR,HANSEN_X_GASPARD_DH_LINE,5.0,8.0,3.0
BR017-096112,Winter OSR,HANSEN_X_GASPARD_DH_LINE,7.0,7.0,3.0
BR017-096121,Winter OSR,HANSEN_X_GASPARD_DH_LINE,4.666666666666667,6.0,3.0
BR017-096122,Winter OSR,HANSEN_X_GASPARD_DH_LINE,4.0,7.0,4.0
BR017-096213,Winter OSR,HANSEN_X_GASPARD_DH_LINE,4.333333333333333,4.0,4.0
BR017-096223,Winter OSR,HANSEN_X_GASPARD_DH_LINE,4.333333333333333,6.0,6.0
BR017-097111,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,6.666666666666667,7.0,6.0
BR017-097112,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,6.0,7.0,5.0
BR017-097121,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,5.666666666666667,8.0,7.0
BR017-097122,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,5.0,8.0,8.0
BR017-097213,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,5.666666666666667,7.0,7.0
BR017-097223,Winter OSR,MADRIGAL_x_RECITAL_DH_LINE,6.666666666666667,8.0,8.0
BR017-098111,Winter OSR,RAFAL_DH1,6.333333333333333,5.0,5.0
BR017-098112,Winter OSR,RAFAL_DH1,5.666666666666667,5.0,5.0
BR017-098121,Winter OSR,RAFAL_DH1,5.333333333333333,8.0,7.0
BR017-098122,Winter OSR,RAFAL_DH1,4.666666666666667,11.0,9.0
BR017-098213,Winter OSR,RAFAL_DH1,6.666666666666667,5.0,5.0
BR017-098223,Winter OSR,RAFAL_DH1,6.333333333333333,8.0,8.0
BR017-101111,Winter OSR,EUROL,4.666666666666667,8.0,4.0
BR017-101112,Winter OSR,EUROL,2.6666666666666665,4.0,3.0
BR017-101121,Winter OSR,EUROL,2.0,6.0,2.0
BR017-101122,Winter OSR,EUROL,3.6666666666666665,8.0,3.0
BR017-101223,Winter OSR,EUROL,2.6666666666666665,5.0,2.0
BR017-102111,Winter OSR,Lesira,7.666666666666667,6.0,6.0
BR017-102112,Winter OSR,Lesira,10.0,6.0,6.0
BR017-102121,Winter OSR,Lesira,8.666666666666666,8.0,7.0
BR017-102122,Winter OSR,Lesira,8.666666666666666,11.0,7.0
BR017-102213,Winter OSR,Lesira,8.0,14.0,5.0
BR017-102223,Winter OSR,Lesira,9.333333333333334,12.0,9.0
BR017-105111,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,9.0,5.0,5.0
BR017-105112,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,5.0,5.0,5.0
BR017-105121,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,2.3333333333333335,7.0,4.0
BR017-105122,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,4.0,5.0,5.0
BR017-105213,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,5.333333333333333,5.0,5.0
BR017-105223,Winter OSR,LICROWN_X_EXPRESS_DH_LINE,5.666666666666667,6.0,6.0
BR017-106111,Winter OSR,SHANNON_x_WINNER_DH_LINE,7.0,10.0,5.0
BR017-106112,Winter OSR,SHANNON_x_WINNER_DH_LINE,7.0,8.0,8.0
BR017-106121,Winter OSR,SHANNON_x_WINNER_DH_LINE,10.666666666666666,9.0,9.0
BR017-106122,Winter OSR,SHANNON_x_WINNER_DH_LINE,7.333333333333333,9.0,9.0
