Weight	BCE_Loss	MSE_Loss
0.01	1.1577	0.0019
0.01	0.6551	0.0008
0.01	0.6428	0.0010
0.02	0.6723	0.0009
0.02	0.6677	0.0008
0.02	0.6275	0.0009
0.03	0.6558	0.0008
0.03	0.6369	0.0008
0.03	0.6015	0.0010
0.04	0.7405	0.0008
0.04	0.6855	0.0008
0.04	0.6830	0.0007
0.04	0.6689	0.0009
0.04	0.6623	0.0009
0.05	0.7354	0.0009
0.05	0.6631	0.0009
0.06	0.6725	0.0008
0.06	0.6697	0.0010
0.06	0.5922	0.0012
0.07	0.7382	0.0009
0.07	0.6846	0.0009
0.07	0.6808	0.0009
0.07	0.6725	0.0010
0.08	0.7106	0.0014
0.08	0.7005	0.0010
0.08	0.6888	0.0010
0.08	0.6692	0.0009
0.08	0.6603	0.0009
0.09	0.6861	0.0012
0.09	0.6343	0.0009
0.09	0.5452	0.0011
0.10	0.7645	0.0009
0.10	0.6942	0.0012
0.10	0.6773	0.0009
0.10	0.6769	0.0010
0.11	0.6907	0.0009
0.11	0.6670	0.0011
0.11	0.6522	0.0010
0.12	0.7498	0.0010
0.12	0.6589	0.0010
